#Name,Field,RA,DEC,u_mag,v_mag,g_mag,r_mag,i_mag,z_mag,y_mag,j_mag,h_mag,k_mag,lprime_mag,m_mag
fs35,35,18.4538,4.05261,None,None,None,None,None,None,None,12.188,11.835,11.741,None,None
101_207,SA101-330,9.96458,-0.793389,13.64336,12.419,12.6271,12.3124,12.1888,12.1508,None,None,None,None,None,None
101_262,SA101-330,9.93558,-0.497361,16.16337,14.295,14.64836,14.07004,13.8808,13.7992,None,None,None,None,None,None
101_268,SA101-330,9.93816,-0.532528,18.09347,14.38,15.13674,13.82636,12.8124,12.2724,None,None,None,None,None,None
101_270,SA101-330,9.94084,-0.595583,15.13331,13.711,13.94016,13.58724,13.4774,13.4485,None,None,None,None,None,None
101_278,SA101-330,9.94848,-0.49402,18.08635,15.494,15.98614,15.15596,14.8089,14.6227,None,None,None,None,None,None
101_281,SA101-330,9.9514,-0.528667,13.62075,11.575,11.94348,11.33772,11.124,11.0262,None,None,None,None,None,None
101_315,SA101-330,9.91425,-0.458639,14.3261,11.249,11.80162,10.86168,10.5039,10.3105,None,None,None,None,None,None
101_316,SA101-330,9.91445,-0.309583,12.91078,11.552,11.74822,11.45508,11.3599,11.3407,None,None,None,None,None,None
101_320,SA101-330,9.92581,-0.37575,16.35878,13.823,14.32108,13.48012,13.1203,12.9257,None,None,None,None,None,None
101_324,SA101-330,9.9324,-0.387528,12.94578,9.742,10.29894,9.351159,9.03254,8.86519,None,None,None,None,None,None
101_326,SA101-330,9.93558,-0.453,16.66857,14.923,15.24666,14.72224,14.5447,14.471,None,None,None,None,None,None
101_327,SA101-330,9.93579,-0.431556,16.62957,13.441,13.9947,13.0528,12.6803,12.4772,None,None,None,None,None,None
101_330,SA101-330,9.93905,-0.456139,15.05,13.723,13.96458,13.58912,13.4479,13.3982,None,None,None,None,None,None
101_338,SA101-330,9.95493,-0.350111,15.21228,13.788,14.06036,13.62904,13.4858,13.4348,None,None,None,None,None,None
101_339,SA101-330,9.95511,-0.417167,16.62433,14.449,14.838,14.195,13.995,13.9063,None,None,None,None,None,None
101_341,SA101-330,9.95828,-0.364944,15.78097,14.342,14.5825,14.209,14.0962,14.0653,None,None,None,None,None,None
101_342,SA101-330,9.95867,-0.364167,16.80521,15.556,15.77166,15.44324,15.2226,15.1203,None,None,None,None,None,None
101_343,SA101-330,9.95869,-0.382083,17.00626,15.504,15.76124,15.35736,15.2161,15.1664,None,None,None,None,None,None
101_363,SA101-330,9.97187,-0.426806,11.23651,9.874,9.94494,9.87916,9.92118,9.99303,None,None,None,None,None,None
101_404,SA101-330,9.92796,-0.306195,15.97385,13.459,13.92684,13.14076,12.8408,12.6858,None,None,None,None,None,None
101_408,SA101-330,9.93556,-0.211472,18.27451,14.785,15.363,14.377,13.9761,13.7541,None,None,None,None,None,None
101_410,SA101-330,9.93587,-0.233944,14.90705,13.646,13.87084,13.52576,13.3963,13.3544,None,None,None,None,None,None
101_413,SA101-330,9.93723,-0.198583,15.1161,12.583,13.04382,12.27048,11.9734,11.8204,None,None,None,None,None,None
101_415,SA101-330,9.93976,-0.281389,16.60994,15.259,15.50058,15.12512,14.9721,14.9146,None,None,None,None,None,None
101_421,SA101-330,9.95448,-0.288389,14.46255,13.18,13.38378,13.07692,12.9768,12.9544,None,None,None,None,None,None
101_424,SA101-330,9.95563,-0.273861,16.88365,15.058,15.40056,14.84184,14.6153,14.5091,None,None,None,None,None,None
101_427,SA101-330,9.95734,-0.288083,16.87563,14.964,15.3287,14.7298,14.5582,14.4883,None,None,None,None,None,None
101_429,SA101-330,9.95881,-0.30425,16.11526,13.496,13.9552,13.1848,12.8593,12.6874,None,None,None,None,None,None
101_431,SA101-330,9.96037,-0.298139,16.92836,13.684,14.28684,13.25576,12.7519,12.4617,None,None,None,None,None,None
101_L1,SA101-330,9.92474,-0.361861,17.82146,16.501,16.83978,16.28792,15.9615,15.7889,None,None,None,None,None,None
101_L2,SA101-330,9.9263,-0.313944,17.25414,15.77,16.02508,15.62512,15.5172,15.4896,None,None,None,None,None,None
101_L3,SA101-330,9.94862,-0.50708,17.30309,15.953,16.22698,15.79272,15.5956,15.5089,None,None,None,None,None,None
101_L4,SA101-330,9.95216,-0.523444,18.22368,16.264,16.62222,16.03508,16.1643,16.294,None,None,None,None,None,None
101_L5,SA101-330,9.95283,-0.511195,17.46683,15.928,16.19388,15.77432,15.6654,15.6372,None,None,None,None,None,None
101_L6,SA101-330,9.96098,-0.298306,18.17433,16.497,16.81094,16.30416,15.9228,15.7139,None,None,None,None,None,None
110_157,SA110-361,18.7157,-0.149583,17.92049,13.491,14.56742,12.67688,11.7507,11.229,None,None,None,None,None,None
110_229,SA110-361,18.6793,0.0305,17.58043,13.649,14.6104,12.9286,11.9785,11.452,None,None,None,None,None,None
110_230,SA110-361,18.681,0.0397778,16.8846,14.281,14.79636,13.92404,13.53,13.3126,None,None,None,None,None,None
110_232,SA110-361,18.6812,0.0318889,14.15517,12.516,12.83966,12.31524,12.0642,11.9417,None,None,None,None,None,None
110_233,SA110-361,18.6813,0.0141389,15.5927,12.771,13.39274,12.32736,11.7157,11.354,None,None,None,None,None,None
110_239,SA110-361,18.6888,0.00375,16.17018,13.858,14.27346,13.58244,13.2658,13.0997,None,None,None,None,None,None
110_246,SA110-361,18.6974,0.0846111,13.90087,12.706,12.95244,12.56816,12.3564,12.2599,None,None,None,None,None,None
110_266,SA110-361,18.7136,0.0851111,14.09469,12.018,12.42806,11.74684,11.3714,11.1663,None,None,None,None,None,None
110_273,SA110-361,18.7165,0.0399722,18.43058,14.686,15.98058,13.69412,12.4742,11.8907,None,None,None,None,None,None
110_280,SA110-361,18.7186,-0.0615278,18.04443,12.996,14.08754,12.16956,11.2345,10.7101,None,None,None,None,None,None
110_290,SA110-361,18.7228,-0.0209444,13.591,11.898,12.21032,11.70648,11.4868,11.3851,None,None,None,None,None,None
110_311,SA110-361,18.7299,-0.00572222,19.09291,15.505,16.40484,14.83476,14.178,13.7864,None,None,None,None,None,None
