#Argon low resolution emission line wavelengths IN VACUUM, 9125 - 25132 Ang..
#Text following wavelength, and intensity when present, indicates source.
#KH=Hinkle et al, 2001 PASP 113, 548 (2nd number = relative intensity)
#NOAO lines with lambda<9537A from vacidhenear.dat
# units Angstroms
#
# This line list is for XD low resolution gratings and is a modified
# version of argon.dat
#
# Created by P. Ingraham Apr 06/2005
#
8115.3110
8264.523
8424.648
8521.4420
8667.944
9125.4697 NOAO
9227.0293 NOAO
9294.1299 NOAO
9356.7852 NOAO
9660.43 500 NIRSPEC
9787.184 200 NIRSPEC
10472.9 200 UKIRT
10676.5 100 UKIRT
10883.92   1551   KH
10888.87     10   KH
10895.35    230   KH
11081.9 10 NOAO
11109.5 3 NOAO
11396.8 8 NOAO
11445. 12 NOAO
11470.7 6 NOAO
11491.2 120 NOAO
11583.5 1 NOAO
11671.9 200 NOAO
11722.7 10 NOAO
11736.4 9 NOAO
11887.7 4 NOAO
11899.9 1 NOAO
11946.6 12 NOAO
11947.1 B NOAO
12029.9 2 NOAO
12115.6 150 NOAO
12143. 30 NOAO
12346.8 30 NOAO
12359.7 10 NOAO
12406.2 100 NOAO
12442.7 300 NOAO
12459.5 100 NOAO
12491.1 200 NOAO
12557.7 2 NOAO
12625.1 2 NOAO
12705.76  18317   KH
12735.88     23   KH
12736.90   2995   KH
12769.45     38   KH
12806.24    486   KH
12936.7 40 NOAO
12960.2 500 NOAO
13011.8 200 NOAO
13217.6 200 NOAO
13276.3 500 NOAO
13316.8 800 NOAO
13370.8 1000 NOAO
13410.2 100 NOAO
13503.1 30 NOAO
13507.9 1000 NOAO
13547.9 8 NOAO
13577.3 12 NOAO
13603. 40 NOAO
13626.4 400 NOAO
13682.3 200 NOAO
13722.3 1000 NOAO
13829.5 B NOAO
13911.3 8 NOAO
13914.4 50 NOAO
14097.5 150 NOAO
14260.8 13 NOAO
14599.7 11 NOAO
14600.5 B NOAO
14638.4 30 NOAO
14654.3 30 NOAO
14697.4 4 NOAO
14743.2 5 NOAO
15050.6 100 NOAO
15176.8 25 NOAO
15306.1 40 NOAO
15333.5 9 NOAO
15406.85    566   KH
15904. 10 NOAO
15993.9 25 NOAO
16127.1 1 NOAO
16184.4 4 NOAO
16441.06   1468   KH
16524.38   1666   KH
16553.78    775   KH
16744.6 9 NOAO
16945.2 500 NOAO
17449.7 11 NOAO
17828.9 5 NOAO
17919.6 40 NOAO
18432.8 10 NOAO
18433.4 B NOAO
18434.5 B NOAO
19822.9 5 NOAO
19971.2 4 NOAO
20322.6 2 NOAO
20621.9 50 NOAO
20652.8 2 NOAO
20816.71    140   KH
20991.83   1763   KH
21338.70    153   KH
21540.08    832   KH
22045.57    259   KH
22083.21   1321   KH
23139.51    412   KH
23851.54   1769   KH
23973.05    766   KH
25132.1 25 NOAO
