# Ar Line List 7034.3516A - 47946.0A
# units Angstrom
# wavelengths in IN VACUUM
#
# Text following wavelength, and intensity when present, indicates source.
# KH=Hinkle et al, 2001 PASP 113, 548 (2nd number = relative intensity)
# NOAO lines with lambda<9537A from vacidhenear.dat
7034.3516 NOAO
7067.1362 NOAO
7109.4561 NOAO
7127.7646 NOAO
7149.0107 NOAO
7175.9160 NOAO
7208.9722 NOAO
7247.1641 NOAO
7274.9404 NOAO
7283.3550 NOAO
7313.7241 NOAO
7355.3418 NOAO
7374.1489 NOAO
7386.0142 NOAO
7440.9473 NOAO
7490.9341 NOAO
7505.9336 NOAO
7516.7202 NOAO
7537.8501 NOAO
7546.1235 NOAO
7637.2065 NOAO
7672.1514 NOAO
7725.9258 NOAO
7893.2461 NOAO
7950.3608 NOAO
8008.3574 NOAO
8014.2036 NOAO
8016.9902 NOAO
8055.5220 NOAO
8084.6807 NOAO
8105.9204 NOAO
8112.2305 NOAO
8117.5430 NOAO
8266.7930 NOAO
8302.6074 NOAO
8379.9092 NOAO
8426.9619 NOAO
8497.6943 NOAO
8523.7832 NOAO
8608.1436 NOAO
8622.8379 NOAO
8637.0195 NOAO
8656.7598 NOAO
8670.3242  NOAO
8764.1260 NOAO
8783.0342 NOAO
8784.5996 NOAO
8786.1670 NOAO
8856.2969 NOAO
9077.9111 NOAO
9125.4697 NOAO
9151.1904 NOAO
9197.2031 NOAO
9227.0293 NOAO
9294.1299 NOAO
9356.7852 NOAO
9427.9648 NOAO
9536.7822 NOAO
 9660.43 500 NIRSPEC
 9787.184 200 NIRSPEC
 9954.61 10 NIRSPEC
10054.8 2 UKIRT
10335.6 10 UH22
10472.9 200 UKIRT
10676.5 100 UKIRT
 10776.32    457   KH
 10809.98     47   KH
 10815.86    145   KH
 10819.46     26   KH
 10825.66     10   KH
 10832.43     12   KH
 10864.05    143   KH
 10870.32     16   KH
 10883.92   1551   KH
 10888.87     10   KH
 10895.35    230   KH
 10926.44     61   KH
10953.7 10 UKIRT
11081.9 10 NOAO
11109.5 3 NOAO
11396.8 8 NOAO
11445. 12 NOAO
11470.7 6 NOAO
11491.2 120 NOAO
11583.5 1 NOAO
11671.9 200 NOAO
11690.8 1 NOAO
11722.7 10 NOAO
11736.4 9 NOAO
11887.7 4 NOAO
11899.9 1 NOAO
11946.6 12 NOAO
11947.1 B NOAO
12029.9 2 NOAO
12115.6 150 NOAO
12143. 30 NOAO
12154.7 2 NOAO
12346.8 30 NOAO
12359.7 10 NOAO
12406.2 100 NOAO
12442.7 300 NOAO
12459.5 100 NOAO
12491.1 200 NOAO
12557.7 2 NOAO
12625.1 2 NOAO
 12705.76  18317   KH
 12716.09     39   KH
 12735.88     23   KH
 12736.90   2995   KH
 12749.72   2581   KH
 12769.45     38   KH
 12776.33     88   KH
 12786.27     80   KH
 12795.05     29   KH
 12798.98     50   KH
 12806.24    486   KH
 12813.09      9   KH
 12817.00     58   KH
 12826.95     13   KH
 12850.57     27   KH
 12876.91     19   KH
 12906.54     20   KH
12936.7 40 NOAO
12960.2 500 NOAO
13011.8 200 NOAO
13032. 2 NOAO
13217.6 200 NOAO
13231.7 200 NOAO
13234.5 200 NOAO
13276.3 500 NOAO
13305.9 4 NOAO
13316.8 800 NOAO
13333.8 6 NOAO
13370.8 1000 NOAO
13410.2 100 NOAO
13503.1 30 NOAO
13507.9 1000 NOAO
13547.9 8 NOAO
13577.3 12 NOAO
13603. 40 NOAO
13626.4 400 NOAO
13682.3 200 NOAO
13722.3 1000 NOAO
13829.5 B NOAO
13832.1 9 NOAO
13911.3 8 NOAO
13914.4 50 NOAO
14097.5 150 NOAO
14253.1 8 NOAO
14260.8 13 NOAO
14599.7 11 NOAO
14600.5 B NOAO
14638.4 30 NOAO
14654.3 30 NOAO
14697.4 4 NOAO
14743.2 5 NOAO
15050.6 100 NOAO
15176.8 25 NOAO
15306.1 40 NOAO
15333.5 9 NOAO
15353. 7 NOAO
15357.3 3 NOAO
 15406.85    566   KH
 15450.95     54   KH
 15559.71     35   KH
 15739.21     69   KH
15904. 10 NOAO
15993.9 25 NOAO
16127.1 1 NOAO
16184.4 4 NOAO
 16268.51     69   KH
 16441.06   1468   KH
 16524.38   1666   KH
 16553.78    775   KH
 16554.91     84   KH
16744.6 9 NOAO
16945.2 500 NOAO
17449.7 11 NOAO
17450. B NOAO
17828.9 5 NOAO
17919.6 40 NOAO
18423.2 2 NOAO
18432.8 10 NOAO
18433.4 B NOAO
18434.5 B NOAO
18574.0 30 UKIRT
18637.4 8 UKIRT
18750.1 5 UKIRT
19822.9 5 NOAO
19971.2 4 NOAO
20322.6 2 NOAO
20621.9 50 NOAO
20652.8 2 NOAO
20739.3 2 NOAO
20741. B NOAO
 20816.71    140   KH
 20991.83   1763   KH
 21041.57     42   KH
 21242.79     12   KH
 21338.70    153   KH
 21540.08    832   KH
 21675.89     12   KH
 21770.25     21   KH
 21947.81     19   KH
 22045.57    259   KH
 22083.21   1321   KH
22118.65     68   KH
 22215.73     10   KH
 22260.93     11   KH
 22539.74      9   KH
 22978.36     54   KH
 23139.51    412   KH
 23787.79     10   KH
 23851.54   1769   KH
 23911.20     14   KH
 23973.05    766   KH
 24019.77     17   KH
25132.1 25 NOAO
25491.6 3 NOAO
25512.2 8 NOAO
25668. 10 NOAO
26843. 4 NOAO
26917.1 40 NOAO
27233. 3 NOAO
28202.4 30 NOAO
28246. 30 NOAO
28321.8 25 NOAO
28435. 1 NOAO
28506.0 10 UKIRT
28538.4 3 NOAO
28620.2 200 NOAO
28697.9 50 NOAO
28712.8 5 NOAO
28782.9 500 NOAO
28843.1 100 NOAO
28989.2 2 NOAO
29108.5 3 NOAO
29134.8 50 NOAO
29262.9 4 NOAO
29280.7 20 NOAO
29486.0 8 UKIRT
29566.3 3 NOAO
29796.8 250   
30101.0 100 UKIRT
30354.0 20 UKIRT
30462.1 4   
30552.8 2   
30612.0 20 UKIRT
30996.2 10   
31333. 100   
31727.3 5   
31808.0 10 UKIRT
31988.0 20 UKIRT
32256.3 3   
32305.9 1   
32333.9 5   
32369.0 5 UKIRT
32882.0 8 UKIRT
32888.6 4   
33049.0 20 UKIRT
33078.8 15   
33148.4 15   
33293.4 10   
33489.0 8 UKIRT
33890.0 150 UKIRT
34900.0 10 UKIRT
34960.5 1   
35658.0 5 UKIRT
35839.0 40 UKIRT
36220.9 8   
36312.4 3   
36390.5 2   
36395. 2   
36492. 10   
36866.0 20 UKIRT
37013.6 2   
37085.9 5   
37143.5 3   
37186.2 1   
37261.2 2   
37500.0 5 UKIRT
38117.0 10 NIRSPEC
38120.7 3   
38331.2 1   
38419.0 10 NIRSPEC
39646.0 10 UKIRT
39664.3 1   
39670.7 1   
39942.0 10 UKIRT
40080.4 2   
40112.0 50 NIRSPEC
40164.8 1   
40169.7 1   
40433.1 3   
40524.0 50 NIRSPEC
40645.0 5 UKIRT
40879.0 50 NIRSPEC
41244.0 20 UKIRT
46279.0 30 UKIRT
47703.0 30 UKIRT
47946.0 30 UKIRT
