# ATRAN synthetic spectrum for 1000-2500nm, unconvolved, resampled to 0.02nm.
# Input parameters: Obs Altitude: 14000 feet, Obs Latitude: 39 degrees,
# Water Vapor Overburden: 2000 microns, Std Atmosphere with: 2 Layers,
# Zenith Angle: 48 degrees, Wavelength Range: 1.0 - 2.5 microns, Smoothing R:	0 
# units Nanometer
# wavelengths in IN VACUUM
1000.000 1.0000000
1000.020 1.0000000
1000.040 1.0000000
1000.060 0.9992435
1000.080 1.0000000
1000.100 1.0000000
1000.120 0.9992171
1000.140 1.0000000
1000.160 0.9992404
1000.180 0.9892712
1000.200 0.9933097
1000.220 0.9926766
1000.240 1.0000000
1000.260 1.0000000
1000.280 1.0000000
1000.300 1.0000000
1000.320 1.0000000
1000.340 1.0000000
1000.360 1.0000000
1000.380 1.0000000
1000.400 1.0000000
1000.420 1.0000000
1000.440 1.0000000
1000.460 1.0000000
1000.480 0.9986356
1000.500 1.0000000
1000.520 1.0000000
1000.540 1.0000000
1000.560 1.0000000
1000.580 1.0000000
1000.600 1.0000000
1000.620 1.0000000
1000.640 1.0000000
1000.660 1.0000000
1000.680 1.0000000
1000.700 1.0000000
1000.720 1.0000000
1000.740 1.0000000
1000.760 1.0000000
1000.780 1.0000000
1000.800 1.0000000
1000.820 1.0000000
1000.840 1.0000000
1000.860 1.0000000
1000.880 1.0000000
1000.900 1.0000000
1000.920 1.0000000
1000.940 1.0000000
1000.960 1.0000000
1000.980 1.0000000
1001.000 1.0000000
1001.020 1.0000000
1001.040 1.0000000
1001.060 1.0000000
1001.080 1.0000000
1001.100 1.0000000
1001.120 1.0000000
1001.140 1.0000000
1001.160 1.0000000
1001.180 1.0000000
1001.200 1.0000000
1001.220 1.0000000
1001.240 1.0000000
1001.260 1.0000000
1001.280 1.0000000
1001.300 1.0000000
1001.320 0.9986614
1001.340 0.9970232
1001.360 1.0000000
1001.380 1.0000000
1001.400 1.0000000
1001.420 0.9988299
1001.440 0.9984151
1001.460 1.0000000
1001.480 1.0000000
1001.500 0.9966800
1001.520 1.0000000
1001.540 1.0000000
1001.560 1.0000000
1001.580 1.0000000
1001.600 1.0000000
1001.620 1.0000000
1001.640 1.0000000
1001.660 1.0000000
1001.680 1.0000000
1001.700 1.0000000
1001.720 1.0000000
1001.740 1.0000000
1001.760 0.9989704
1001.780 1.0000000
1001.800 1.0000000
1001.820 1.0000000
1001.840 0.9982532
1001.860 1.0000000
1001.880 1.0000000
1001.900 1.0000000
1001.920 0.9959206
1001.940 0.9651441
1001.960 0.9562876
1001.980 0.9935292
1002.000 0.9986992
1002.020 0.9994518
1002.040 1.0000000
1002.060 1.0000000
1002.080 1.0000000
1002.100 1.0000000
1002.120 0.9975546
1002.140 0.9719227
1002.160 0.9982939
1002.180 1.0000000
1002.200 1.0000000
1002.220 1.0000000
1002.240 1.0000000
1002.260 1.0000000
1002.280 1.0000000
1002.300 1.0000000
1002.320 1.0000000
1002.340 1.0000000
1002.360 1.0000000
1002.380 1.0000000
1002.400 0.9995324
1002.420 0.9983790
1002.440 0.9781646
1002.460 0.9976247
1002.480 0.9994267
1002.500 0.9974774
1002.520 0.9999399
1002.540 0.9944415
1002.560 0.9988516
1002.580 1.0000000
1002.600 0.9994285
1002.620 0.9943610
1002.640 0.9973188
1002.660 1.0000000
1002.680 1.0000000
1002.700 1.0000000
1002.720 1.0000000
1002.740 1.0000000
1002.760 1.0000000
1002.780 1.0000000
1002.800 1.0000000
1002.820 1.0000000
1002.840 1.0000000
1002.860 0.9984338
1002.880 1.0000000
1002.900 1.0000000
1002.920 1.0000000
1002.940 1.0000000
1002.960 1.0000000
1002.980 1.0000000
1003.000 1.0000000
1003.020 1.0000000
1003.040 1.0000000
1003.060 1.0000000
1003.080 1.0000000
1003.100 1.0000000
1003.120 1.0000000
1003.140 1.0000000
1003.160 1.0000000
1003.180 1.0000000
1003.200 1.0000000
1003.220 1.0000000
1003.240 1.0000000
1003.260 1.0000000
1003.280 1.0000000
