# ATRAN synthetic spectrum for 2800-6000nm, unconvolved, inverse, resampled to 0.02nm.
# Input parameters: Obs Altitude: 14000 feet, Obs Latitude: 39 degrees,
# Water Vapor Overburden: 2000 microns, Std Atmosphere with: 2 Layers,
# Zenith Angle: 48 degrees, Wavelength Range: 2.8 - 6.0 microns, Smoothing R:	0 
# units Nanometer
# wavelengths in IN VACUUM
2800.000 1.0000000
2800.020 1.0000000
2800.040 1.0000000
2800.060 1.0000000
2800.080 1.0000000
2800.100 1.0000000
2800.120 1.0000000
2800.140 1.0000000
2800.160 1.0000000
2800.180 1.0000000
2800.200 1.0000000
2800.220 0.9996223
2800.240 0.9983926
2800.260 0.9962959
2800.280 0.9940067
2800.300 0.9921700
2800.320 0.9912092
2800.340 0.9912083
2800.360 0.9920419
2800.380 0.9934410
2800.400 0.9951241
2800.420 0.9968147
2800.440 0.9982276
2800.460 0.9992347
2800.480 0.9997541
2800.500 0.9999443
2800.520 1.0000000
2800.540 1.0000000
2800.560 1.0000000
2800.580 1.0000000
2800.600 1.0000000
2800.620 1.0000000
2800.640 1.0000000
2800.660 1.0000000
2800.680 1.0000000
2800.700 1.0000000
2800.720 1.0000000
2800.740 1.0000000
2800.760 1.0000000
2800.780 1.0000000
2800.800 1.0000000
2800.820 1.0000000
2800.840 1.0000000
2800.860 1.0000000
2800.880 0.9999308
2800.900 0.9997671
2800.920 0.9994878
2800.940 0.9988475
2800.960 0.9977807
2800.980 0.9966618
2801.000 0.9952157
2801.020 0.9935285
2801.040 0.9921268
2801.060 0.9912770
2801.080 0.9915962
2801.100 0.9931353
2801.120 0.9938562
2801.140 0.9922858
2801.160 0.9915402
2801.180 0.9923974
2801.200 0.9941588
2801.220 0.9963240
2801.240 0.9983439
2801.260 0.9996008
2801.280 1.0000000
2801.300 1.0000000
2801.320 1.0000000
2801.340 1.0000000
2801.360 1.0000000
2801.380 1.0000000
2801.400 1.0000000
2801.420 0.9998785
2801.440 0.9994579
2801.460 0.9987655
2801.480 0.9981153
2801.500 0.9977445
2801.520 0.9977134
2801.540 0.9979784
2801.560 0.9983288
2801.580 0.9988189
2801.600 0.9993549
2801.620 0.9997675
2801.640 0.9998495
2801.660 0.9999477
2801.680 1.0000000
2801.700 1.0000000
2801.720 1.0000000
2801.740 1.0000000
2801.760 1.0000000
2801.780 1.0000000
2801.800 1.0000000
2801.820 1.0000000
2801.840 1.0000000
2801.860 1.0000000
2801.880 1.0000000
2801.900 1.0000000
2801.920 1.0000000
2801.940 1.0000000
2801.960 1.0000000
2801.980 1.0000000
2802.000 1.0000000
2802.020 1.0000000
2802.040 1.0000000
2802.060 1.0000000
2802.080 1.0000000
2802.100 1.0000000
2802.120 1.0000000
2802.140 1.0000000
2802.160 1.0000000
2802.180 1.0000000
2802.200 1.0000000
2802.220 1.0000000
2802.240 1.0000000
2802.260 1.0000000
2802.280 1.0000000
2802.300 1.0000000
2802.320 1.0000000
2802.340 1.0000000
2802.360 1.0000000
2802.380 1.0000000
2802.400 1.0000000
2802.420 1.0000000
2802.440 1.0000000
2802.460 1.0000000
2802.480 1.0000000
2802.500 1.0000000
2802.520 1.0000000
2802.540 1.0000000
2802.560 1.0000000
2802.580 1.0000000
2802.600 1.0000000
2802.620 1.0000000
2802.640 1.0000000
2802.660 1.0000000
2802.680 1.0000000
2802.700 1.0000000
2802.720 1.0000000
2802.740 1.0000000
2802.760 1.0000000
2802.780 1.0000000
2802.800 1.0000000
2802.820 1.0000000
2802.840 1.0000000
2802.860 1.0000000
2802.880 1.0000000
2802.900 1.0000000
2802.920 1.0000000
2802.940 1.0000000
2802.960 1.0000000
2802.980 1.0000000
2803.000 1.0000000
2803.020 1.0000000
2803.040 1.0000000
2803.060 1.0000000
2803.080 1.0000000
2803.100 1.0000000
2803.120 1.0000000
2803.140 1.0000000
2803.160 1.0000000
2803.180 1.0000000
2803.200 1.0000000
2803.220 1.0000000
2803.240 1.0000000
2803.260 1.0000000
2803.280 1.0000000
2803.300 1.0000000
2803.320 1.0000000
2803.340 1.0000000
2803.360 1.0000000
2803.380 1.0000000
2803.400 1.0000000
2803.420 1.0000000
2803.440 1.0000000
2803.460 1.0000000
2803.480 1.0000000
2803.500 1.0000000
2803.520 1.0000000
2803.540 1.0000000
2803.560 1.0000000
2803.580 1.0000000
2803.600 1.0000000
2803.620 1.0000000
2803.640 1.0000000
2803.660 1.0000000
2803.680 1.0000000
2803.700 1.0000000
2803.720 1.0000000
2803.740 1.0000000
2803.760 1.0000000
2803.780 1.0000000
2803.800 1.0000000
2803.820 1.0000000
2803.840 1.0000000
2803.860 1.0000000
2803.880 1.0000000
2803.900 1.0000000
2803.920 1.0000000
2803.940 1.0000000
2803.960 1.0000000
2803.980 1.0000000
2804.000 1.0000000
2804.020 1.0000000
2804.040 1.0000000
2804.060 1.0000000
2804.080 1.0000000
2804.100 1.0000000
2804.120 1.0000000
2804.140 1.0000000
2804.160 1.0000000
2804.180 1.0000000
2804.200 1.0000000
2804.220 1.0000000
2804.240 1.0000000
2804.260 1.0000000
2804.280 1.0000000
2804.300 1.0000000
2804.320 1.0000000
2804.340 1.0000000
2804.360 1.0000000
2804.380 1.0000000
2804.400 1.0000000
2804.420 1.0000000
2804.440 1.0000000
2804.460 1.0000000
2804.480 1.0000000
2804.500 1.0000000
2804.520 1.0000000
2804.540 1.0000000
2804.560 1.0000000
2804.580 1.0000000
2804.600 1.0000000
2804.620 1.0000000
2804.640 1.0000000
2804.660 1.0000000
2804.680 1.0000000
2804.700 1.0000000
2804.720 1.0000000
2804.740 1.0000000
2804.760 1.0000000
2804.780 1.0000000
2804.800 1.0000000
2804.820 1.0000000
2804.840 1.0000000
2804.860 1.0000000
2804.880 1.0000000
2804.900 1.0000000
2804.920 1.0000000
2804.940 1.0000000
2804.960 1.0000000
2804.980 1.0000000
2805.000 1.0000000
2805.020 1.0000000
2805.040 1.0000000
2805.060 1.0000000
2805.080 1.0000000
2805.100 1.0000000
2805.120 1.0000000
2805.140 1.0000000
2805.160 1.0000000
2805.180 1.0000000
2805.200 1.0000000
2805.220 1.0000000
2805.240 1.0000000
2805.260 1.0000000
2805.280 1.0000000
2805.300 1.0000000
2805.320 1.0000000
2805.340 1.0000000
2805.360 1.0000000
2805.380 1.0000000
2805.400 1.0000000
2805.420 1.0000000
2805.440 1.0000000
2805.460 1.0000000
2805.480 1.0000000
2805.500 1.0000000
2805.520 1.0000000
2805.540 1.0000000
2805.560 1.0000000
2805.580 1.0000000
2805.600 1.0000000
2805.620 1.0000000
2805.640 1.0000000
2805.660 1.0000000
2805.680 1.0000000
2805.700 1.0000000
2805.720 1.0000000
2805.740 1.0000000
2805.760 1.0000000
2805.780 1.0000000
2805.800 1.0000000
2805.820 1.0000000
2805.840 1.0000000
2805.860 1.0000000
2805.880 1.0000000
2805.900 1.0000000
2805.920 1.0000000
2805.940 1.0000000
2805.960 1.0000000
2805.980 1.0000000
2806.000 1.0000000
2806.020 1.0000000
2806.040 1.0000000
2806.060 1.0000000
2806.080 1.0000000
2806.100 1.0000000
2806.120 1.0000000
2806.140 1.0000000
2806.160 1.0000000
2806.180 1.0000000
2806.200 1.0000000
2806.220 1.0000000
2806.240 1.0000000
2806.260 1.0000000
2806.280 1.0000000
2806.300 1.0000000
2806.320 1.0000000
2806.340 1.0000000
2806.360 1.0000000
2806.380 1.0000000
2806.400 1.0000000
2806.420 1.0000000
2806.440 1.0000000
2806.460 1.0000000
2806.480 1.0000000
2806.500 1.0000000
2806.520 0.9999528
2806.540 0.9999045
2806.560 0.9998450
2806.580 0.9997985
2806.600 0.9996549
2806.620 0.9995348
2806.640 0.9995010
2806.660 0.9995579
2806.680 0.9996551
2806.700 0.9997891
2806.720 0.9999431
2806.740 1.0000000
2806.760 1.0000000
2806.780 1.0000000
2806.800 1.0000000
2806.820 1.0000000
2806.840 1.0000000
2806.860 1.0000000
2806.880 1.0000000
2806.900 1.0000000
2806.920 0.9999855
2806.940 0.9999028
2806.960 0.9999142
2806.980 1.0000000
2807.000 1.0000000
2807.020 1.0000000
2807.040 1.0000000
2807.060 1.0000000
2807.080 1.0000000
2807.100 1.0000000
