# units Angstrom
# wavelengths in IN VACUUM
# line list created from the ATRAN model with params WV=2mm, AM=1.5, R=15000
# to use for GNIRS XJHK-band observations, R > 10000)
# with weights
10774.86 0.962
10802.53 0.947
10813.76 0.966
10835.06 0.936
10836.94 0.977
10860.29 0.945
10862.96 0.866
10871.07 0.973
10891.78 0.963
10895.18 0.963
10903.98 0.901
10906.67 0.968
10925.94 0.847
10933.84 0.974
10938.14 0.970
10947.41 0.966
10949.33 0.909
10957.54 0.971
10962.85 0.940
10975.98 0.953
10978.94 0.922
10981.76 0.971
10985.39 0.967
10988.86 0.938
10991.28 0.958
10995.04 0.969
10996.93 0.823
10999.46 0.919
11002.53 0.973
11005.62 0.929
11016.99 0.968
11030.64 0.856
11032.96 0.941
11035.42 0.935
11041.97 0.864
11044.40 0.814
11055.65 0.868
11060.88 0.915
11063.01 0.824
11067.15 0.834
11072.22 0.974
11077.65 0.919
11085.07 0.821
11087.70 0.771
11093.68 0.882
11095.31 0.963
11102.00 0.970
11105.90 0.620
11109.07 0.762
11112.46 0.749
11115.12 0.576
11123.71 0.832
11130.00 0.552
11139.18 0.622
11142.58 0.893
11146.40 0.930
11148.10 0.848
11154.99 0.556
11158.40 0.770
11160.37 0.819
11172.82 0.338
11175.07 0.299
11180.67 0.793
11183.79 0.229
11200.11 0.348
11204.05 0.110
11208.03 0.757
11213.71 0.183
11224.30 0.059
11227.92 0.096
11249.01 0.849
11251.41 0.562
11268.22 0.507
11274.10 0.194
11278.83 0.074
11285.23 0.184
11289.92 0.210
11293.17 0.426
11297.50 0.065
11301.92 0.258
11304.70 0.825
11308.53 0.761
11315.52 0.528
11321.10 0.749
11324.74 0.280
11328.19 0.907
11330.03 0.741
11332.74 0.277
11341.14 0.160
11356.96 0.889
11364.30 0.866
11365.92 0.904
11368.29 0.861
11372.21 0.963
11376.74 0.275
11380.88 0.926
11385.36 0.138
11391.28 0.970
11403.60 0.957
11408.96 0.132
11415.33 0.232
11418.75 0.911
11422.13 0.331
11426.35 0.858
11429.01 0.737
11430.94 0.887
11437.82 0.271
11443.58 0.064
11449.76 0.213
11454.58 0.195
11459.39 0.292
11463.22 0.663
11466.80 0.111
11470.64 0.279
11473.31 0.383
11476.22 0.217
11484.21 0.956
11488.61 0.185
11498.22 0.150
11504.83 0.884
11508.54 0.393
11513.22 0.352
11520.40 0.236
11540.50 0.370
