# units Angstrom
# wavelengths in IN VACUUM
# line list created from the ATRAN model with params WV=2mm, AM=1.5, R=5000
# to use for GNIRS XJHK-band observations, 3000 <= R < 10000)
# used prom=any
11044.2 0.095
11062.9 0.092
11106.0 0.163
11115.0 0.187
11132.7 0.249
11137.6 0.230
11151.7 0.462
11165.8 0.564
11174.7 0.408
11183.8 0.408
11193.9 0.474
11204.0 0.519
11213.8 0.469
11220.1 0.649
11237.4 0.773
11237.4 0.773
11244.4 0.260
11255.3 0.822
11262.5 0.513
11278.8 0.613
11285.2 0.439
11289.9 0.433
11297.5 0.650
11308.8 0.119
11315.4 0.215
11324.8 0.359
11336.3 0.586
11347.3 0.934
11360.9 0.683
11376.6 0.387
11385.4 0.492
11399.8 0.416
11408.9 0.497
11415.3 0.398
11422.1 0.322
11429.1 0.129
11437.9 0.388
11443.5 0.608
11449.7 0.420
11454.6 0.436
11459.4 0.354
11466.6 0.573
11488.5 0.454
11498.1 0.545
11508.5 0.276
11513.2 0.318
11520.4 0.399
11526.8 0.646
11540.5 0.307
11550.0 0.180
11557.7 0.377
11565.2 0.196
11578.5 0.313
11584.8 0.092
11589.9 0.280
11597.2 0.134
11603.9 0.245
11614.7 0.098
11623.5 0.176
11637.9 0.083
11652.6 0.103
11658.1 0.136
11667.6 0.088
11723.6 0.074
11739.7 0.139
11777.1 0.153
11784.1 0.075
11795.8 0.107
11818.6 0.225
11843.3 0.126
11850.3 0.106
11876.7 0.147
11882.0 0.127
11892.3 0.071
11934.9 0.097
11976.1 0.087
11988.1 0.089
12018.6 0.100
12037.9 0.207
12050.7 0.107
12091.6 0.081
12113.6 0.083
12591.0 0.074
12608.0 0.098
12625.3 0.137
12636.2 0.085
12643.3 0.161
12660.4 0.183
12668.6 0.110
12677.4 0.107
12687.6 0.420
12707.1 0.072
12717.1 0.076
12727.3 0.079
12738.0 0.070
12763.5 0.062
12763.5 0.062
13035.0 0.082
13042.8 0.104
13066.5 0.124
13081.2 0.125
13096.9 0.134
13105.5 0.129
13122.8 0.100
13129.7 0.080
13137.0 0.234
13156.5 0.087
13169.9 0.184
13183.3 0.124
13188.2 0.125
13194.2 0.106
13201.3 0.245
13214.3 0.173
13240.9 0.159
13255.7 0.134
13270.9 0.158
13278.5 0.116
13283.8 0.255
13288.2 0.237
13292.4 0.224
13301.5 0.198
13313.3 0.334
13319.4 0.287
13324.8 0.403
13330.7 0.108
13337.6 0.321
13337.6 0.321
13349.2 0.238
13360.1 0.445
13374.9 0.329
13380.1 0.311
13387.7 0.197
13392.9 0.259
13416.1 0.270
13427.3 0.239
13432.6 0.136
13440.9 0.492
13455.9 0.372
13455.9 0.372
13465.7 0.578
13478.2 0.775
13484.6 0.777
13503.8 0.887
13503.8 0.887
13518.1 0.751
13525.0 0.815
13531.6 0.938
13547.9 0.978
13558.2 0.977
13584.2 0.971
13596.0 0.997
13596.0 0.997
13620.2 0.999
13647.2 1.000
13663.1 0.754
13700.0 0.998
14914.5 0.351
14928.8 0.113
14950.1 0.163
14957.9 0.160
14965.3 0.228
14980.9 0.147
15018.5 0.092
15027.5 0.092
15039.2 0.176
15039.2 0.176
15047.6 0.133
15087.9 0.125
15723.3 0.089
15777.8 0.073
15782.2 0.073
15786.7 0.073
16022.0 0.087
16082.1 0.075
16086.6 0.075
16091.2 0.075
16095.8 0.071
16100.5 0.068
16105.3 0.064
16403.5 0.066
16429.1 0.083
16455.5 0.100
16482.4 0.076
16509.6 0.088
16537.2 0.072
16655.5 0.139
16840.3 0.062
17213.2 0.107
17235.6 0.076
17398.2 0.082
17412.8 0.175
17444.5 0.141
17515.4 0.209
17551.6 0.214
17568.3 0.164
17574.6 0.200
17610.4 0.155
17624.8 0.111
17630.7 0.140
17659.1 0.563
17697.8 0.101
17707.2 0.205
17740.1 0.230
17762.3 0.309
17788.4 0.411
17812.6 0.472
17848.1 0.628
17859.3 0.312
17871.3 0.336
17888.4 0.188
17908.6 0.336
17952.7 0.379
17961.2 0.272
17969.7 0.520
17981.3 0.423
18000.0 0.842
19116.5 0.991
19241.9 0.991
19286.4 0.942
19329.0 0.606
19340.5 0.844
19365.8 0.802
19380.6 0.764
19448.3 0.735
19482.7 0.559
19533.0 0.708
19543.5 0.675
19555.8 0.685
19609.8 0.505
19633.9 0.608
19680.1 0.469
19694.1 0.363
19701.4 0.300
19716.0 0.431
19730.8 0.202
19741.9 0.334
19776.4 0.105
19785.9 0.079
19830.2 0.121
19852.3 0.141
19870.3 0.381
19901.9 0.265
19941.9 0.178
19956.8 0.162
19968.3 0.232
19981.9 0.434
20015.3 0.660
20056.5 0.790
20108.5 0.688
20115.2 0.690
20122.0 0.706
20128.8 0.707
20135.8 0.709
20150.5 0.687
20157.9 0.666
20181.0 0.622
20188.9 0.575
20197.1 0.506
20205.4 0.464
20221.8 0.402
20230.5 0.337
20239.0 0.295
20247.9 0.247
20256.9 0.192
20266.3 0.156
20284.7 0.137
20332.5 0.088
20383.7 0.062
20421.0 0.086
20504.0 0.296
20526.0 0.390
20543.7 0.431
20555.6 0.436
20616.5 0.307
20630.1 0.386
20637.1 0.395
20644.1 0.402
20651.2 0.400
20658.5 0.403
20672.9 0.372
20680.3 0.355
20687.8 0.339
20695.4 0.320
20703.0 0.297
20710.6 0.280
20718.6 0.253
20726.3 0.220
20734.0 0.215
20742.6 0.190
20750.4 0.186
20758.4 0.145
20767.2 0.125
20776.1 0.130
20848.1 0.098
20900.6 0.059
21017.3 0.075
21634.8 0.097
21784.6 0.056
21833.6 0.087
21849.1 0.093
21983.1 0.086
22049.0 0.084
22215.1 0.069
22316.2 0.065
22324.0 0.070
22440.7 0.064
22472.2 0.102
22540.7 0.089
22569.1 0.096
22637.1 0.079
22647.8 0.115
22686.7 0.161
22704.0 0.115
22724.6 0.121
22756.6 0.214
22807.9 0.155
22829.4 0.228
22840.0 0.161
22853.5 0.128
22899.6 0.193
22924.2 0.123
22938.6 0.093
22949.6 0.128
22957.6 0.131
22984.4 0.171
23044.7 0.152
23055.0 0.091
23065.6 0.077
23075.5 0.173
23093.9 0.054
23121.7 0.058
23170.5 0.371
23196.2 0.105
23208.0 0.087
23219.4 0.125
23254.7 0.109
23264.5 0.065
23285.5 0.179
23317.4 0.124
23339.9 0.083
23349.5 0.103
23360.8 0.105
23386.7 0.122
23401.4 0.233
23467.4 0.159
23481.4 0.202
23524.4 0.251
23548.0 0.086
23559.6 0.305
23616.4 0.192
23639.7 0.166
23662.4 0.108
23675.3 0.241
23689.5 0.152
23748.7 0.090
23767.3 0.288
23782.1 0.338
23840.2 0.369
23860.2 0.293
23881.5 0.307
23914.9 0.438
23932.7 0.099
23955.4 0.078
23967.5 0.368
23981.6 0.078
24004.1 0.227
24042.7 0.470
24069.9 0.330
24098.8 0.375
24117.7 0.223
24143.3 0.363
24160.7 0.656
24220.8 0.138
24241.0 0.367
24251.2 0.108
24263.8 0.375
24333.5 0.386
24354.3 0.820
24429.4 0.209
24461.0 0.777
24472.8 0.535
24513.3 0.756
24546.8 0.588
24627.6 0.805
24644.2 0.271
24678.1 0.427
24752.6 0.154
24774.5 0.197
24786.0 0.240
24805.4 0.637
24815.2 0.692
24842.5 0.924
24894.2 0.393
